system,config_name,method,seed,metric,value
lorenz,smoke_lorenz,EDMD-disc deg-2,1,one_step,0.07788765742034971
lorenz,smoke_lorenz,EDMD-disc deg-2,42,one_step,0.07257223673344958
lorenz,smoke_lorenz,EDMD-disc deg-2,101,one_step,0.049658670402979
lorenz,smoke_lorenz,EDMD-disc deg-2,1,rel_pct,11.23181060487146
lorenz,smoke_lorenz,EDMD-disc deg-2,42,rel_pct,8.021997618917752
lorenz,smoke_lorenz,EDMD-disc deg-2,101,rel_pct,5.584351649926708
lorenz,smoke_lorenz,EDMD-disc deg-2,1,r0_5s,0.3231454445286216
lorenz,smoke_lorenz,EDMD-disc deg-2,42,r0_5s,1.3181756099992161
lorenz,smoke_lorenz,EDMD-disc deg-2,101,r0_5s,0.7514707809690999
lorenz,smoke_lorenz,EDMD-disc deg-2,1,r1s,1.7445801418243627
lorenz,smoke_lorenz,EDMD-disc deg-2,42,r1s,1.7824538616440542
lorenz,smoke_lorenz,EDMD-disc deg-2,101,r1s,1.223972258458944
lorenz,smoke_lorenz,Taylor N=5,1,one_step,1.1889704039878095
lorenz,smoke_lorenz,Taylor N=5,42,one_step,0.8016904100714896
lorenz,smoke_lorenz,Taylor N=5,101,one_step,0.5960180168085112
lorenz,smoke_lorenz,Taylor N=5,1,rel_pct,171.4557971658743
lorenz,smoke_lorenz,Taylor N=5,42,rel_pct,88.61733977311013
lorenz,smoke_lorenz,Taylor N=5,101,rel_pct,67.02503648488717
lorenz,smoke_lorenz,Taylor N=5,1,r0_5s,19.57594884914243
lorenz,smoke_lorenz,Taylor N=5,42,r0_5s,21.578459537884413
lorenz,smoke_lorenz,Taylor N=5,101,r0_5s,13.94542773911697
lorenz,smoke_lorenz,Taylor N=5,1,r1s,35.92074031619925
lorenz,smoke_lorenz,Taylor N=5,42,r1s,23.511944643497714
lorenz,smoke_lorenz,Taylor N=5,101,r1s,24.564515531451576
lorenz,smoke_lorenz,GMM N=5,1,one_step,1.2149070217632851
lorenz,smoke_lorenz,GMM N=5,42,one_step,0.8529338992148362
lorenz,smoke_lorenz,GMM N=5,101,one_step,0.6476599637356143
lorenz,smoke_lorenz,GMM N=5,1,rel_pct,175.19599411406205
lorenz,smoke_lorenz,GMM N=5,42,rel_pct,94.28169802353587
lorenz,smoke_lorenz,GMM N=5,101,rel_pct,72.8324169319983
lorenz,smoke_lorenz,GMM N=5,1,r0_5s,15.935010200200631
lorenz,smoke_lorenz,GMM N=5,42,r0_5s,18.60326714096243
lorenz,smoke_lorenz,GMM N=5,101,r0_5s,19.29003164486285
lorenz,smoke_lorenz,GMM N=5,1,r1s,21.449276730602687
lorenz,smoke_lorenz,GMM N=5,42,r1s,11.335239752162606
lorenz,smoke_lorenz,GMM N=5,101,r1s,20.681123706760484
lorenz,smoke_lorenz,Taylor N=12,1,one_step,0.9224473731159503
lorenz,smoke_lorenz,Taylor N=12,42,one_step,0.6733906089543022
lorenz,smoke_lorenz,Taylor N=12,101,one_step,0.47728272003086647
lorenz,smoke_lorenz,Taylor N=12,1,rel_pct,133.0217717536925
lorenz,smoke_lorenz,Taylor N=12,42,rel_pct,74.43532271815948
lorenz,smoke_lorenz,Taylor N=12,101,rel_pct,53.67269247156455
lorenz,smoke_lorenz,Taylor N=12,1,r0_5s,17.681436821357345
lorenz,smoke_lorenz,Taylor N=12,42,r0_5s,16.979494970889338
